0.1 | 0.9 | Bayes | Normalized | PCA = 10 | ActDCF =6.957 | MinDCF =0.856
0.1 | 0.1 | Bayes | Normalized | PCA = 11 | ActDCF =0.869 | MinDCF =0.799
0.1 | 0.5 | Bayes | Normalized | PCA = 11 | ActDCF =0.765 | MinDCF =0.400
0.1 | 0.9 | Bayes | Normalized | PCA = 11 | ActDCF =6.781 | MinDCF =0.914
0.5 | 0.1 | Bayes | Raw | PCA = 5 | ActDCF =1.875 | MinDCF =0.879
0.5 | 0.5 | Bayes | Raw | PCA = 5 | ActDCF =0.433 | MinDCF =0.414
0.5 | 0.9 | Bayes | Raw | PCA = 5 | ActDCF =2.456 | MinDCF =0.998
0.5 | 0.1 | Bayes | Raw | PCA = 6 | ActDCF =1.942 | MinDCF =0.878
0.5 | 0.5 | Bayes | Raw | PCA = 6 | ActDCF =0.422 | MinDCF =0.414
0.5 | 0.9 | Bayes | Raw | PCA = 6 | ActDCF =2.275 | MinDCF =0.936
0.5 | 0.1 | Bayes | Raw | PCA = 7 | ActDCF =1.953 | MinDCF =0.866
0.5 | 0.5 | Bayes | Raw | PCA = 7 | ActDCF =0.400 | MinDCF =0.396
0.5 | 0.9 | Bayes | Raw | PCA = 7 | ActDCF =2.044 | MinDCF =0.927
0.5 | 0.1 | Bayes | Raw | PCA = 8 | ActDCF =1.948 | MinDCF =0.861
0.5 | 0.5 | Bayes | Raw | PCA = 8 | ActDCF =0.395 | MinDCF =0.389
0.5 | 0.9 | Bayes | Raw | PCA = 8 | ActDCF =2.000 | MinDCF =0.930
0.5 | 0.1 | Bayes | Raw | PCA = 9 | ActDCF =2.011 | MinDCF =0.870
0.5 | 0.5 | Bayes | Raw | PCA = 9 | ActDCF =0.393 | MinDCF =0.383
0.5 | 0.9 | Bayes | Raw | PCA = 9 | ActDCF =1.920 | MinDCF =0.883
0.5 | 0.1 | Bayes | Raw | PCA = 10 | ActDCF =2.369 | MinDCF =0.866
0.5 | 0.5 | Bayes | Raw | PCA = 10 | ActDCF =0.424 | MinDCF =0.387
0.5 | 0.9 | Bayes | Raw | PCA = 10 | ActDCF =1.873 | MinDCF =0.892
0.5 | 0.1 | Bayes | Raw | PCA = 11 | ActDCF =2.347 | MinDCF =0.872
0.5 | 0.5 | Bayes | Raw | PCA = 11 | ActDCF =0.422 | MinDCF =0.384
0.5 | 0.9 | Bayes | Raw | PCA = 11 | ActDCF =1.870 | MinDCF =0.921
0.5 | 0.1 | Bayes | Normalized | PCA = 5 | ActDCF =2.457 | MinDCF =0.877
0.5 | 0.5 | Bayes | Normalized | PCA = 5 | ActDCF =0.473 | MinDCF =0.450
0.5 | 0.9 | Bayes | Normalized | PCA = 5 | ActDCF =2.274 | MinDCF =0.925
0.5 | 0.1 | Bayes | Normalized | PCA = 6 | ActDCF =2.236 | MinDCF =0.910
0.5 | 0.5 | Bayes | Normalized | PCA = 6 | ActDCF =0.428 | MinDCF =0.423
0.5 | 0.9 | Bayes | Normalized | PCA = 6 | ActDCF =2.046 | MinDCF =0.873
0.5 | 0.1 | Bayes | Normalized | PCA = 7 | ActDCF =2.173 | MinDCF =0.896
0.5 | 0.5 | Bayes | Normalized | PCA = 7 | ActDCF =0.437 | MinDCF =0.432
0.5 | 0.9 | Bayes | Normalized | PCA = 7 | ActDCF =2.199 | MinDCF =0.816
0.5 | 0.1 | Bayes | Normalized | PCA = 8 | ActDCF =2.202 | MinDCF =0.905
0.5 | 0.5 | Bayes | Normalized | PCA = 8 | ActDCF =0.427 | MinDCF =0.420
0.5 | 0.9 | Bayes | Normalized | PCA = 8 | ActDCF =2.072 | MinDCF =0.794
0.5 | 0.1 | Bayes | Normalized | PCA = 9 | ActDCF =2.217 | MinDCF =0.863
0.5 | 0.5 | Bayes | Normalized | PCA = 9 | ActDCF =0.429 | MinDCF =0.421
0.5 | 0.9 | Bayes | Normalized | PCA = 9 | ActDCF =2.073 | MinDCF =0.806
0.5 | 0.1 | Bayes | Normalized | PCA = 10 | ActDCF =2.196 | MinDCF =0.816
0.5 | 0.5 | Bayes | Normalized | PCA = 10 | ActDCF =0.421 | MinDCF =0.411
0.5 | 0.9 | Bayes | Normalized | PCA = 10 | ActDCF =2.013 | MinDCF =0.856
0.5 | 0.1 | Bayes | Normalized | PCA = 11 | ActDCF =2.092 | MinDCF =0.799
0.5 | 0.5 | Bayes | Normalized | PCA = 11 | ActDCF =0.415 | MinDCF =0.400
0.5 | 0.9 | Bayes | Normalized | PCA = 11 | ActDCF =2.060 | MinDCF =0.914
0.9 | 0.1 | Bayes | Raw | PCA = 5 | ActDCF =7.830 | MinDCF =0.879
0.9 | 0.5 | Bayes | Raw | PCA = 5 | ActDCF =0.900 | MinDCF =0.414
0.9 | 0.9 | Bayes | Raw | PCA = 5 | ActDCF =1.175 | MinDCF =0.998
0.9 | 0.1 | Bayes | Raw | PCA = 6 | ActDCF =7.097 | MinDCF =0.878
0.9 | 0.5 | Bayes | Raw | PCA = 6 | ActDCF =0.813 | MinDCF =0.414
0.9 | 0.9 | Bayes | Raw | PCA = 6 | ActDCF =1.035 | MinDCF =0.936
0.9 | 0.1 | Bayes | Raw | PCA = 7 | ActDCF =6.905 | MinDCF =0.866
0.9 | 0.5 | Bayes | Raw | PCA = 7 | ActDCF =0.798 | MinDCF =0.396
0.9 | 0.9 | Bayes | Raw | PCA = 7 | ActDCF =1.072 | MinDCF =0.927
0.9 | 0.1 | Bayes | Raw | PCA = 8 | ActDCF =6.896 | MinDCF =0.861
0.9 | 0.5 | Bayes | Raw | PCA = 8 | ActDCF =0.795 | MinDCF =0.389
0.9 | 0.9 | Bayes | Raw | PCA = 8 | ActDCF =1.056 | MinDCF =0.930
0.9 | 0.1 | Bayes | Raw | PCA = 9 | ActDCF =6.668 | MinDCF =0.870
0.9 | 0.5 | Bayes | Raw | PCA = 9 | ActDCF =0.763 | MinDCF =0.383
0.9 | 0.9 | Bayes | Raw | PCA = 9 | ActDCF =0.958 | MinDCF =0.883
0.9 | 0.1 | Bayes | Raw | PCA = 10 | ActDCF =6.878 | MinDCF =0.866
0.9 | 0.5 | Bayes | Raw | PCA = 10 | ActDCF =0.777 | MinDCF =0.387
0.9 | 0.9 | Bayes | Raw | PCA = 10 | ActDCF =0.895 | MinDCF =0.892
0.9 | 0.1 | Bayes | Raw | PCA = 11 | ActDCF =6.857 | MinDCF =0.872
0.9 | 0.5 | Bayes | Raw | PCA = 11 | ActDCF =0.782 | MinDCF =0.384
0.9 | 0.9 | Bayes | Raw | PCA = 11 | ActDCF =0.965 | MinDCF =0.921
0.9 | 0.1 | Bayes | Normalized | PCA = 5 | ActDCF =7.777 | MinDCF =0.877
0.9 | 0.5 | Bayes | Normalized | PCA = 5 | ActDCF =0.880 | MinDCF =0.450
0.9 | 0.9 | Bayes | Normalized | PCA = 5 | ActDCF =1.024 | MinDCF =0.925
0.9 | 0.1 | Bayes | Normalized | PCA = 6 | ActDCF =7.452 | MinDCF =0.910
0.9 | 0.5 | Bayes | Normalized | PCA = 6 | ActDCF =0.835 | MinDCF =0.423
0.9 | 0.9 | Bayes | Normalized | PCA = 6 | ActDCF =0.900 | MinDCF =0.873
0.9 | 0.1 | Bayes | Normalized | PCA = 7 | ActDCF =7.380 | MinDCF =0.896
0.9 | 0.5 | Bayes | Normalized | PCA = 7 | ActDCF =0.829 | MinDCF =0.432
0.9 | 0.9 | Bayes | Normalized | PCA = 7 | ActDCF =0.907 | MinDCF =0.816
0.9 | 0.1 | Bayes | Normalized | PCA = 8 | ActDCF =7.289 | MinDCF =0.905
0.9 | 0.5 | Bayes | Normalized | PCA = 8 | ActDCF =0.816 | MinDCF =0.420
0.9 | 0.9 | Bayes | Normalized | PCA = 8 | ActDCF =0.868 | MinDCF =0.794
0.9 | 0.1 | Bayes | Normalized | PCA = 9 | ActDCF =7.234 | MinDCF =0.863
0.9 | 0.5 | Bayes | Normalized | PCA = 9 | ActDCF =0.807 | MinDCF =0.421
0.9 | 0.9 | Bayes | Normalized | PCA = 9 | ActDCF =0.833 | MinDCF =0.806
0.9 | 0.1 | Bayes | Normalized | PCA = 10 | ActDCF =7.000 | MinDCF =0.816
0.9 | 0.5 | Bayes | Normalized | PCA = 10 | ActDCF =0.788 | MinDCF =0.411
0.9 | 0.9 | Bayes | Normalized | PCA = 10 | ActDCF =0.879 | MinDCF =0.856
0.9 | 0.1 | Bayes | Normalized | PCA = 11 | ActDCF =6.949 | MinDCF =0.799
0.9 | 0.5 | Bayes | Normalized | PCA = 11 | ActDCF =0.790 | MinDCF =0.400
0.9 | 0.9 | Bayes | Normalized | PCA = 11 | ActDCF =0.946 | MinDCF =0.914
0.1 | 0.1 | Tied | Raw | PCA = 5 | ActDCF =0.860 | MinDCF =0.844
0.1 | 0.5 | Tied | Raw | PCA = 5 | ActDCF =0.677 | MinDCF =0.420
0.1 | 0.9 | Tied | Raw | PCA = 5 | ActDCF =5.910 | MinDCF =0.986
0.1 | 0.1 | Tied | Raw | PCA = 6 | ActDCF =0.894 | MinDCF =0.837
0.1 | 0.5 | Tied | Raw | PCA = 6 | ActDCF =0.646 | MinDCF =0.397
0.1 | 0.9 | Tied | Raw | PCA = 6 | ActDCF =5.566 | MinDCF =0.822
0.1 | 0.1 | Tied | Raw | PCA = 7 | ActDCF =0.856 | MinDCF =0.834
0.1 | 0.5 | Tied | Raw | PCA = 7 | ActDCF =0.635 | MinDCF =0.371
0.1 | 0.9 | Tied | Raw | PCA = 7 | ActDCF =5.489 | MinDCF =0.821
0.1 | 0.1 | Tied | Raw | PCA = 8 | ActDCF =0.864 | MinDCF =0.834
0.1 | 0.5 | Tied | Raw | PCA = 8 | ActDCF =0.635 | MinDCF =0.362
0.1 | 0.9 | Tied | Raw | PCA = 8 | ActDCF =5.490 | MinDCF =0.825
0.1 | 0.1 | Tied | Raw | PCA = 9 | ActDCF =0.906 | MinDCF =0.838
0.1 | 0.5 | Tied | Raw | PCA = 9 | ActDCF =0.652 | MinDCF =0.338
0.1 | 0.9 | Tied | Raw | PCA = 9 | ActDCF =5.611 | MinDCF =0.733
0.1 | 0.1 | Tied | Raw | PCA = 10 | ActDCF =0.901 | MinDCF =0.835
