0.5 | 0.5 | Linear Regression | Lambda =2.34e-05 | Raw | PCA = 10 | ActDCF =0.363 | MinDCF =0.356
0.5 | 0.9 | Linear Regression | Lambda =2.34e-05 | Raw | PCA = 10 | ActDCF =1.746 | MinDCF =0.653
0.5 | 0.1 | Linear Regression | Lambda =2.34e-05 | Normalized | PCA = 10 | ActDCF =1.988 | MinDCF =0.837
0.5 | 0.5 | Linear Regression | Lambda =2.34e-05 | Normalized | PCA = 10 | ActDCF =0.376 | MinDCF =0.367
0.5 | 0.9 | Linear Regression | Lambda =2.34e-05 | Normalized | PCA = 10 | ActDCF =1.772 | MinDCF =0.751
0.5 | 0.1 | Linear Regression | Lambda =5.46e-05 | Raw | PCA = 10 | ActDCF =1.863 | MinDCF =0.833
0.5 | 0.5 | Linear Regression | Lambda =5.46e-05 | Raw | PCA = 10 | ActDCF =0.362 | MinDCF =0.356
0.5 | 0.9 | Linear Regression | Lambda =5.46e-05 | Raw | PCA = 10 | ActDCF =1.759 | MinDCF =0.661
0.5 | 0.1 | Linear Regression | Lambda =5.46e-05 | Normalized | PCA = 10 | ActDCF =1.980 | MinDCF =0.837
0.5 | 0.5 | Linear Regression | Lambda =5.46e-05 | Normalized | PCA = 10 | ActDCF =0.375 | MinDCF =0.367
0.5 | 0.9 | Linear Regression | Lambda =5.46e-05 | Normalized | PCA = 10 | ActDCF =1.772 | MinDCF =0.751
0.5 | 0.1 | Linear Regression | Lambda =1.27e-04 | Raw | PCA = 10 | ActDCF =1.847 | MinDCF =0.828
0.5 | 0.5 | Linear Regression | Lambda =1.27e-04 | Raw | PCA = 10 | ActDCF =0.359 | MinDCF =0.352
0.5 | 0.9 | Linear Regression | Lambda =1.27e-04 | Raw | PCA = 10 | ActDCF =1.742 | MinDCF =0.657
0.5 | 0.1 | Linear Regression | Lambda =1.27e-04 | Normalized | PCA = 10 | ActDCF =1.980 | MinDCF =0.837
0.5 | 0.5 | Linear Regression | Lambda =1.27e-04 | Normalized | PCA = 10 | ActDCF =0.375 | MinDCF =0.367
0.5 | 0.9 | Linear Regression | Lambda =1.27e-04 | Normalized | PCA = 10 | ActDCF =1.772 | MinDCF =0.751
0.5 | 0.1 | Linear Regression | Lambda =2.98e-04 | Raw | PCA = 10 | ActDCF =1.825 | MinDCF =0.831
0.5 | 0.5 | Linear Regression | Lambda =2.98e-04 | Raw | PCA = 10 | ActDCF =0.356 | MinDCF =0.351
0.5 | 0.9 | Linear Regression | Lambda =2.98e-04 | Raw | PCA = 10 | ActDCF =1.740 | MinDCF =0.660
0.5 | 0.1 | Linear Regression | Lambda =2.98e-04 | Normalized | PCA = 10 | ActDCF =1.980 | MinDCF =0.838
0.5 | 0.5 | Linear Regression | Lambda =2.98e-04 | Normalized | PCA = 10 | ActDCF =0.375 | MinDCF =0.367
0.5 | 0.9 | Linear Regression | Lambda =2.98e-04 | Normalized | PCA = 10 | ActDCF =1.772 | MinDCF =0.751
0.5 | 0.1 | Linear Regression | Lambda =6.95e-04 | Raw | PCA = 10 | ActDCF =1.787 | MinDCF =0.834
